tenure,monthly_charges,total_charges,contract,payment_method,internet_service,tech_support,online_security,support_calls,churn
32,65.93,2109.76,Month-to-month,Cash,,No,No,2,0
52,88.02,4577.04,Month-to-month,Cash,Fiber,No,Yes,0,1
15,80.56,1208.4,Month-to-month,Debit,DSL,No,No,1,1
3,118.47,355.41,Month-to-month,Cash,Fiber,Yes,Yes,0,1
37,48.88,1808.56,Two year,UPI,Fiber,No,Yes,3,0
40,98.61,3944.4,Month-to-month,Credit,DSL,No,No,2,1
72,43.46,3129.12,Two year,Debit,Fiber,Yes,Yes,2,0
40,63.56,2542.4,Month-to-month,UPI,DSL,No,No,1,0
56,117.54,6582.24,Month-to-month,UPI,DSL,No,Yes,2,1
23,96.61,2222.03,One year,UPI,,Yes,No,0,0
11,51.58,567.38,One year,Credit,DSL,No,Yes,1,0
64,81.94,5244.16,Month-to-month,Credit,DSL,No,No,1,0
8,24.97,199.76,Month-to-month,UPI,Fiber,No,No,2,0
56,46.64,2611.84,One year,Credit,Fiber,No,No,3,0
60,91.84,5510.4,Month-to-month,Cash,DSL,No,Yes,1,0
10,77.01,770.1,Month-to-month,Cash,,No,No,3,1
39,66.97,2611.83,Two year,Credit,Fiber,No,Yes,0,0
28,89.09,2494.52,Month-to-month,UPI,Fiber,No,No,0,1
49,59.85,2932.65,Month-to-month,UPI,Fiber,No,No,0,0
36,22.62,814.32,Month-to-month,Debit,DSL,No,Yes,2,0
13,64.1,833.3,Month-to-month,UPI,DSL,No,No,2,0
36,110.21,3967.56,One year,Debit,DSL,No,No,0,0
26,105.66,2747.16,Month-to-month,Debit,Fiber,No,Yes,2,1
4,60.9,243.6,Month-to-month,UPI,DSL,No,No,2,0
64,22.22,1422.08,Month-to-month,Credit,Fiber,Yes,No,2,0
38,83.63,3177.94,Month-to-month,Debit,,No,Yes,1,1
22,94.12,2070.64,Two year,Debit,Fiber,No,No,1,0
2,49.42,98.84,Month-to-month,Debit,DSL,No,No,2,1
31,67.67,2097.77,Month-to-month,Credit,Fiber,No,Yes,2,0
11,119.19,1311.09,Month-to-month,Credit,Fiber,No,No,3,1
46,77.63,3570.98,Month-to-month,Debit,DSL,Yes,No,3,0
62,55.11,3416.82,Two year,Credit,Fiber,No,No,2,0
69,82.75,5709.75,Month-to-month,Debit,DSL,No,Yes,1,1
64,38.0,2432.0,One year,Debit,Fiber,No,Yes,3,0
10,39.93,399.3,Month-to-month,Cash,DSL,No,No,3,1
40,112.49,4499.6,One year,Credit,Fiber,Yes,No,1,0
24,43.92,1054.08,Two year,Cash,DSL,No,No,2,0
44,51.08,2247.52,Month-to-month,Cash,,No,Yes,1,0
60,74.38,4462.8,Month-to-month,UPI,DSL,Yes,No,0,1
62,109.97,6818.14,Month-to-month,Debit,Fiber,No,Yes,0,1
17,98.14,1668.38,Month-to-month,Debit,DSL,No,No,1,1
65,24.38,1584.7,Month-to-month,Debit,Fiber,Yes,Yes,3,1
57,89.3,5090.1,Two year,Debit,DSL,No,No,3,1
55,70.41,3872.55,Month-to-month,Cash,Fiber,Yes,No,1,0
53,67.56,3580.68,One year,Cash,DSL,Yes,Yes,2,0
56,89.16,4992.96,Month-to-month,Cash,Fiber,No,Yes,1,1
9,39.62,356.58,Month-to-month,Cash,Fiber,No,No,1,0
22,118.15,2599.3,One year,Debit,Fiber,No,No,1,0
13,84.53,1098.89,Two year,Credit,DSL,Yes,No,3,1
48,56.57,2715.36,Month-to-month,Credit,Fiber,No,No,4,1
18,80.02,1440.36,Month-to-month,Debit,Fiber,No,Yes,1,1
40,41.65,1666.0,One year,Credit,Fiber,No,No,0,0
17,83.38,1417.46,One year,UPI,,No,Yes,1,1
15,22.82,342.3,Two year,UPI,Fiber,No,No,2,0
15,54.12,811.8,Month-to-month,Credit,DSL,No,No,1,0
63,94.75,5969.25,One year,Credit,DSL,No,No,2,0
39,100.8,3931.2,Month-to-month,Cash,DSL,No,Yes,2,1
13,45.29,588.77,Month-to-month,Debit,Fiber,No,Yes,2,0
32,73.94,2366.08,Month-to-month,Debit,Fiber,No,No,2,0
9,72.85,655.65,Month-to-month,UPI,DSL,No,No,1,0
40,62.15,2486.0,Two year,Credit,Fiber,No,Yes,2,0
20,42.84,856.8,Month-to-month,Credit,Fiber,No,Yes,0,0
63,90.32,5690.16,Month-to-month,UPI,Fiber,Yes,Yes,0,1
44,45.24,1990.56,One year,UPI,Fiber,No,No,1,0
38,111.1,4221.8,One year,Cash,DSL,Yes,Yes,3,0
60,72.85,4371.0,Month-to-month,Cash,Fiber,No,No,0,1
71,107.05,7600.55,Month-to-month,Credit,,No,No,1,0
48,49.07,2355.36,Month-to-month,UPI,,No,No,1,1
18,100.71,1812.78,Month-to-month,Credit,Fiber,No,No,1,1
16,31.37,501.92,Two year,UPI,DSL,Yes,Yes,1,0
55,96.68,5317.4,Month-to-month,UPI,Fiber,Yes,Yes,1,0
39,58.69,2288.91,Two year,UPI,DSL,No,No,0,0
68,67.0,4556.0,Month-to-month,Debit,Fiber,Yes,No,2,0
59,36.68,2164.12,One year,Debit,Fiber,No,No,1,0
62,21.86,1355.32,Month-to-month,Debit,Fiber,Yes,No,2,1
13,86.62,1126.06,Month-to-month,Cash,Fiber,Yes,No,3,1
6,78.77,472.62,One year,Cash,Fiber,Yes,No,1,0
60,82.24,4934.4,Month-to-month,UPI,Fiber,No,No,2,0
14,45.5,637.0,One year,Debit,DSL,No,No,0,0
54,43.93,2372.22,Month-to-month,UPI,DSL,No,No,1,0
4,103.03,412.12,One year,Debit,DSL,No,No,1,1
39,96.13,3749.07,Two year,Cash,Fiber,No,No,3,0
72,53.68,3864.96,One year,Cash,Fiber,Yes,Yes,4,0
25,83.78,2094.5,Month-to-month,Credit,Fiber,No,Yes,3,1
32,102.82,3290.24,Month-to-month,UPI,,No,No,3,1
59,108.88,6423.92,One year,Cash,Fiber,No,No,6,1
63,20.58,1296.54,Two year,Debit,,Yes,No,0,0
38,101.35,3851.3,Month-to-month,Cash,DSL,Yes,No,2,0
53,55.04,2917.12,One year,Debit,DSL,No,Yes,1,0
67,91.84,6153.28,Month-to-month,UPI,Fiber,No,No,2,0
28,57.14,1599.92,One year,UPI,Fiber,No,Yes,3,0
3,80.62,241.86,Two year,UPI,DSL,Yes,No,2,1
22,84.68,1862.96,Two year,Cash,,No,Yes,1,0
38,60.5,2299.0,One year,Cash,DSL,Yes,No,0,0
72,71.28,5132.16,Month-to-month,UPI,Fiber,No,No,0,0
72,92.63,6669.36,Two year,Cash,Fiber,No,Yes,0,0
62,67.63,4193.06,Month-to-month,UPI,Fiber,Yes,Yes,0,0
57,21.4,1219.8,Month-to-month,UPI,Fiber,No,No,2,0
6,21.29,127.74,Two year,UPI,DSL,Yes,No,2,0
32,86.13,2756.16,Month-to-month,Credit,DSL,No,No,5,1
10,104.72,1047.2,One year,Debit,DSL,No,No,1,0
3,98.53,295.59,Month-to-month,Credit,Fiber,No,No,1,1
59,51.04,3011.36,Month-to-month,UPI,Fiber,Yes,No,1,0
49,67.11,3288.39,Month-to-month,Cash,DSL,No,Yes,3,1
59,43.42,2561.78,Month-to-month,Cash,Fiber,No,Yes,1,1
31,118.91,3686.21,Month-to-month,Credit,Fiber,No,Yes,1,0
69,46.05,3177.45,Month-to-month,UPI,Fiber,Yes,Yes,3,1
62,61.63,3821.06,Month-to-month,Debit,DSL,No,Yes,0,0
52,88.11,4581.72,One year,Debit,Fiber,No,No,1,0
41,107.6,4411.6,Month-to-month,Cash,Fiber,No,Yes,2,1
31,25.15,779.65,Two year,Debit,Fiber,No,No,1,0
22,50.1,1102.2,Month-to-month,Credit,Fiber,No,No,2,1
4,76.9,307.6,Two year,Cash,,No,No,1,0
13,81.83,1063.79,One year,Debit,Fiber,No,No,0,0
45,27.0,1215.0,Month-to-month,UPI,DSL,No,No,2,0
42,86.41,3629.22,Month-to-month,Debit,DSL,No,Yes,1,1
49,72.81,3567.69,One year,Credit,Fiber,No,No,2,0
20,102.76,2055.2,Two year,Debit,Fiber,Yes,Yes,2,0
54,42.22,2279.88,Two year,Debit,DSL,No,Yes,3,0
36,39.5,1422.0,Month-to-month,Credit,DSL,No,Yes,2,0
1,99.33,99.33,Month-to-month,Credit,Fiber,No,No,2,1
15,90.39,1355.85,Month-to-month,Credit,Fiber,No,No,0,1
17,99.17,1685.89,Month-to-month,UPI,Fiber,No,No,0,1
24,98.19,2356.56,Month-to-month,Debit,Fiber,Yes,No,3,1
58,30.4,1763.2,Month-to-month,UPI,Fiber,Yes,No,1,1
72,47.86,3445.92,One year,UPI,Fiber,No,No,1,0
23,46.01,1058.23,One year,Credit,Fiber,Yes,No,1,0
46,113.46,5219.16,Month-to-month,Cash,Fiber,No,No,0,1
72,68.75,4950.0,Month-to-month,UPI,DSL,No,Yes,0,0
8,31.11,248.88,Month-to-month,Debit,,Yes,Yes,3,0
59,48.96,2888.64,Two year,Credit,DSL,Yes,No,2,0
59,107.19,6324.21,Two year,UPI,Fiber,No,Yes,1,0
13,104.71,1361.23,Month-to-month,Debit,,No,No,4,1
39,110.03,4291.17,Month-to-month,Debit,Fiber,Yes,Yes,0,0
28,58.85,1647.8,Month-to-month,Debit,Fiber,Yes,Yes,3,0
61,84.13,5131.93,Month-to-month,UPI,Fiber,No,No,3,1
16,47.82,765.12,Month-to-month,Credit,,No,No,2,1
2,38.08,76.16,Month-to-month,Credit,DSL,No,Yes,1,1
17,22.19,377.23,Month-to-month,Cash,DSL,No,No,1,0
30,42.34,1270.2,One year,Debit,Fiber,No,No,0,0
13,80.44,1045.72,Month-to-month,Credit,Fiber,No,No,2,1
13,110.42,1435.46,Month-to-month,Cash,DSL,No,No,3,0
43,33.34,1433.62,One year,Cash,Fiber,No,No,2,1
21,111.8,2347.8,One year,Credit,DSL,No,Yes,1,0
55,54.54,2999.7,Month-to-month,Credit,DSL,Yes,No,1,0
40,62.68,2507.2,Month-to-month,Credit,Fiber,Yes,Yes,2,0
15,56.5,847.5,Two year,UPI,,Yes,Yes,1,1
52,60.86,3164.72,Month-to-month,Credit,Fiber,Yes,No,1,0
53,45.92,2433.76,Month-to-month,Credit,Fiber,No,Yes,3,1
52,89.86,4672.72,Month-to-month,UPI,DSL,Yes,Yes,2,0
30,95.82,2874.6,One year,Credit,DSL,No,Yes,2,0
33,102.31,3376.23,Month-to-month,Credit,Fiber,No,No,1,1
57,54.13,3085.41,One year,Credit,DSL,Yes,No,1,0
52,96.46,5015.92,Month-to-month,Debit,,No,No,2,1
9,83.77,753.93,Month-to-month,UPI,Fiber,No,Yes,1,1
54,115.79,6252.66,Month-to-month,Credit,Fiber,Yes,No,0,0
1,62.48,62.48,Month-to-month,UPI,Fiber,No,No,0,1
44,119.23,5246.12,Month-to-month,Cash,Fiber,No,Yes,0,1
9,94.04,846.36,Month-to-month,Cash,Fiber,Yes,No,1,0
32,97.63,3124.16,Month-to-month,UPI,Fiber,No,No,1,1
15,22.57,338.55,Month-to-month,Credit,DSL,Yes,No,5,0
12,69.74,836.88,Month-to-month,UPI,Fiber,No,Yes,4,1
57,72.83,4151.31,One year,Debit,Fiber,No,No,1,0
8,24.06,192.48,One year,Cash,Fiber,No,Yes,3,0
72,51.21,3687.12,Month-to-month,UPI,DSL,No,Yes,1,0
27,115.56,3120.12,Month-to-month,Credit,Fiber,No,No,2,0
62,62.61,3881.82,Month-to-month,Credit,DSL,No,Yes,1,0
12,38.67,464.04,One year,Cash,Fiber,No,Yes,2,0
65,71.33,4636.45,One year,Debit,,Yes,Yes,1,0
42,23.38,981.96,Month-to-month,Cash,DSL,No,Yes,2,0
62,71.6,4439.2,One year,Credit,DSL,No,No,0,0
11,79.43,873.73,Two year,Debit,DSL,No,No,3,0
43,55.77,2398.11,Two year,UPI,DSL,No,Yes,2,0
17,96.26,1636.42,Two year,Cash,Fiber,Yes,Yes,1,0
32,33.57,1074.24,One year,UPI,DSL,Yes,Yes,2,0
40,107.82,4312.8,Month-to-month,UPI,Fiber,No,No,2,1
23,115.54,2657.42,Month-to-month,Credit,DSL,No,No,2,1
56,20.12,1126.72,One year,Credit,,Yes,No,0,0
6,104.27,625.62,Month-to-month,Debit,Fiber,No,Yes,0,1
50,70.61,3530.5,Month-to-month,UPI,Fiber,Yes,Yes,1,0
37,66.14,2447.18,Month-to-month,Debit,Fiber,No,Yes,2,0
64,43.87,2807.68,One year,Debit,Fiber,No,Yes,1,0
54,64.73,3495.42,Month-to-month,Cash,Fiber,No,Yes,2,1
72,115.04,8282.88,Month-to-month,Cash,Fiber,Yes,No,0,1
49,41.08,2012.92,One year,Credit,Fiber,No,Yes,0,0
11,37.9,416.9,Two year,UPI,Fiber,Yes,Yes,4,0
49,44.19,2165.31,Month-to-month,Debit,Fiber,Yes,No,1,0
21,75.18,1578.78,One year,UPI,Fiber,Yes,No,1,1
66,113.03,7459.98,Month-to-month,Credit,DSL,Yes,No,1,0
63,77.39,4875.57,Month-to-month,UPI,Fiber,No,No,2,0
28,44.35,1241.8,Month-to-month,Debit,Fiber,Yes,Yes,2,0
17,64.05,1088.85,One year,Debit,,Yes,No,1,0
6,59.04,354.24,Two year,UPI,DSL,No,No,2,0
19,24.66,468.54,One year,UPI,Fiber,No,No,3,0
56,71.06,3979.36,Month-to-month,UPI,,Yes,Yes,0,0
28,32.6,912.8,One year,Debit,,No,No,1,0
66,104.22,6878.52,Month-to-month,Debit,Fiber,No,No,1,1
38,74.9,2846.2,Month-to-month,Cash,Fiber,Yes,No,2,0
37,104.46,3865.02,One year,Debit,Fiber,Yes,Yes,2,1
68,115.6,7860.8,One year,UPI,Fiber,No,Yes,1,0
49,114.32,5601.68,Two year,Debit,DSL,No,No,5,1
43,30.04,1291.72,Month-to-month,UPI,,No,No,1,0
36,114.48,4121.28,Two year,Debit,DSL,Yes,No,1,0
58,99.57,5775.06,Month-to-month,Debit,Fiber,No,Yes,1,1
13,97.77,1271.01,Month-to-month,UPI,DSL,No,Yes,3,1
52,29.01,1508.52,One year,Credit,Fiber,No,No,1,0
58,37.95,2201.1,Month-to-month,Cash,DSL,No,No,0,0
32,117.52,3760.64,Month-to-month,Debit,DSL,No,No,2,1
60,41.34,2480.4,One year,Credit,,No,No,1,0
58,36.91,2140.78,One year,Debit,Fiber,Yes,No,0,1
56,56.24,3149.44,Month-to-month,Debit,DSL,Yes,Yes,1,0
28,111.34,3117.52,Month-to-month,Debit,Fiber,No,Yes,0,1
1,67.62,67.62,One year,UPI,Fiber,No,No,2,0
42,112.06,4706.52,One year,Debit,DSL,No,Yes,0,0
48,53.43,2564.64,Two year,Credit,DSL,No,No,1,1
40,42.65,1706.0,One year,Debit,DSL,Yes,Yes,0,0
63,69.52,4379.76,Month-to-month,Debit,,No,No,1,0
72,81.55,5871.6,Month-to-month,Debit,,Yes,No,2,1
4,59.15,236.6,Month-to-month,UPI,,No,No,1,1
38,54.6,2074.8,Month-to-month,UPI,DSL,No,Yes,5,1
27,41.81,1128.87,Month-to-month,Credit,Fiber,No,Yes,4,1
9,47.5,427.5,Month-to-month,UPI,Fiber,No,Yes,3,1
16,87.31,1396.96,Month-to-month,Debit,Fiber,Yes,Yes,1,0
56,56.99,3191.44,Month-to-month,UPI,DSL,No,Yes,0,0
31,27.98,867.38,Month-to-month,Cash,DSL,No,No,1,1
14,33.82,473.48,Month-to-month,UPI,DSL,No,No,0,0
25,57.24,1431.0,Month-to-month,Debit,DSL,Yes,Yes,0,0
34,112.45,3823.3,Month-to-month,Debit,Fiber,Yes,No,1,0
67,57.9,3879.3,Month-to-month,Cash,Fiber,Yes,Yes,2,0
24,26.06,625.44,Month-to-month,UPI,Fiber,No,Yes,1,1
26,61.8,1606.8,One year,Debit,Fiber,No,No,2,0
20,86.88,1737.6,Two year,UPI,Fiber,Yes,No,3,0
64,79.36,5079.04,Month-to-month,UPI,DSL,No,No,0,0
10,47.88,478.8,One year,Debit,Fiber,Yes,Yes,1,0
67,88.81,5950.27,One year,Credit,Fiber,No,Yes,4,1
24,83.06,1993.44,Month-to-month,UPI,DSL,Yes,No,0,0
5,37.22,186.1,Two year,Cash,DSL,Yes,No,1,0
67,36.21,2426.07,One year,Credit,Fiber,Yes,No,2,1
58,74.72,4333.76,Month-to-month,Credit,Fiber,No,No,0,0
27,85.94,2320.38,One year,UPI,DSL,Yes,No,2,0
15,116.19,1742.85,Two year,Cash,Fiber,No,Yes,1,0
35,62.19,2176.65,Two year,UPI,Fiber,Yes,Yes,1,0
53,96.49,5113.97,Two year,Debit,Fiber,No,Yes,3,1
44,31.65,1392.6,Month-to-month,Debit,Fiber,No,No,2,0
26,108.96,2832.96,Month-to-month,Credit,DSL,Yes,No,0,0
47,83.31,3915.57,Month-to-month,Cash,Fiber,No,Yes,1,1
34,82.9,2818.6,Month-to-month,Cash,DSL,No,No,4,1
50,34.24,1712.0,Month-to-month,Credit,Fiber,No,Yes,2,0
12,23.96,287.52,One year,UPI,Fiber,No,No,4,0
4,90.14,360.56,One year,UPI,DSL,Yes,Yes,2,1
48,31.71,1522.08,One year,Debit,DSL,No,No,3,0
55,32.7,1798.5,Month-to-month,UPI,DSL,No,No,1,0
1,38.75,38.75,Month-to-month,UPI,Fiber,No,No,0,0
66,29.77,1964.82,One year,Cash,DSL,No,No,1,0
30,82.54,2476.2,Month-to-month,Credit,Fiber,Yes,Yes,2,0
3,62.2,186.6,One year,UPI,,No,Yes,4,1
21,46.61,978.81,Month-to-month,Credit,DSL,Yes,No,0,0
49,64.07,3139.43,Month-to-month,Cash,Fiber,Yes,No,2,1
62,104.41,6473.42,Month-to-month,Credit,Fiber,No,No,0,1
38,112.71,4282.98,Month-to-month,Debit,DSL,Yes,No,2,0
15,68.75,1031.25,One year,Debit,DSL,No,No,1,0
52,76.68,3987.36,Month-to-month,Credit,Fiber,Yes,Yes,5,1
46,45.72,2103.12,Two year,UPI,DSL,Yes,No,1,0
25,71.36,1784.0,One year,UPI,Fiber,Yes,No,0,0
21,94.81,1991.01,One year,UPI,Fiber,Yes,No,1,0
5,69.21,346.05,Month-to-month,Cash,Fiber,No,Yes,2,1
70,50.21,3514.7,Month-to-month,Credit,DSL,No,No,2,0
47,78.2,3675.4,Month-to-month,Debit,DSL,No,No,1,1
68,114.67,7797.56,Two year,UPI,,No,No,0,0
18,108.8,1958.4,Month-to-month,Credit,Fiber,No,No,2,1
21,96.92,2035.32,Month-to-month,Cash,DSL,No,No,0,1
23,47.62,1095.26,Month-to-month,Debit,Fiber,No,No,1,0
64,44.16,2826.24,One year,Cash,Fiber,Yes,Yes,0,1
67,103.85,6957.95,One year,UPI,DSL,No,No,2,0
40,38.13,1525.2,Month-to-month,Credit,Fiber,No,Yes,0,1
10,80.56,805.6,One year,Credit,Fiber,No,No,0,0
52,63.89,3322.28,Two year,Cash,DSL,No,Yes,1,0
72,66.8,4809.6,Month-to-month,Debit,DSL,No,No,1,0
61,65.45,3992.45,Month-to-month,Debit,DSL,Yes,No,0,0
64,110.0,7040.0,Month-to-month,Cash,Fiber,No,No,1,1
5,28.71,143.55,Two year,UPI,,No,No,2,1
53,98.29,5209.37,Month-to-month,Debit,Fiber,No,No,0,1
55,103.5,5692.5,Month-to-month,Credit,,No,No,2,1
37,114.29,4228.73,Month-to-month,Cash,Fiber,Yes,No,0,0
56,65.26,3654.56,Two year,UPI,Fiber,Yes,Yes,2,0
59,70.01,4130.59,One year,Credit,Fiber,Yes,No,0,0
69,116.13,8012.97,Month-to-month,Credit,Fiber,No,No,4,1
59,65.85,3885.15,Month-to-month,Credit,,No,No,0,1
2,70.35,140.7,Two year,Credit,DSL,Yes,Yes,0,0
65,53.23,3459.95,One year,UPI,,Yes,No,3,0
60,23.16,1389.6,Month-to-month,Credit,Fiber,Yes,No,0,0
51,63.31,3228.81,One year,Cash,DSL,No,Yes,0,0
30,85.51,2565.3,Month-to-month,Cash,DSL,Yes,No,1,1
11,88.99,978.89,One year,Cash,Fiber,Yes,No,3,0
39,20.65,805.35,Month-to-month,Debit,Fiber,No,Yes,0,0
72,100.11,7207.92,Month-to-month,Cash,Fiber,Yes,No,1,0
63,69.24,4362.12,Month-to-month,Cash,Fiber,No,Yes,1,0
64,72.07,4612.48,Month-to-month,Credit,DSL,Yes,No,2,0
61,116.17,7086.37,Month-to-month,Credit,DSL,No,No,1,1
54,48.45,2616.3,Month-to-month,UPI,Fiber,No,No,2,0
58,96.17,5577.86,Month-to-month,UPI,Fiber,No,No,3,1
56,77.48,4338.88,One year,Cash,Fiber,Yes,No,2,1
34,90.08,3062.72,One year,Cash,Fiber,Yes,No,1,0
31,61.78,1915.18,Month-to-month,UPI,DSL,Yes,No,1,1
52,47.92,2491.84,One year,Debit,Fiber,No,No,1,0
1,74.61,74.61,One year,Cash,Fiber,No,No,2,0
55,57.49,3161.95,Month-to-month,Cash,,No,No,2,0
22,42.29,930.38,Month-to-month,Credit,DSL,No,Yes,2,0
40,103.92,4156.8,Month-to-month,Credit,DSL,No,No,2,1
1,67.58,67.58,Month-to-month,Cash,Fiber,No,Yes,1,1
65,104.73,6807.45,One year,Debit,Fiber,No,No,1,1
63,67.4,4246.2,Month-to-month,Debit,Fiber,No,No,2,0
54,75.68,4086.72,Month-to-month,UPI,DSL,No,No,1,0
42,119.53,5020.26,One year,Debit,Fiber,No,No,1,0
21,115.15,2418.15,Month-to-month,Debit,Fiber,No,No,1,1
22,47.17,1037.74,Month-to-month,UPI,,No,Yes,4,0
38,106.87,4061.06,One year,Debit,Fiber,No,No,1,0
8,59.04,472.32,One year,UPI,Fiber,Yes,No,2,0
62,27.12,1681.44,Month-to-month,Credit,,No,No,1,0
47,77.58,3646.26,Month-to-month,UPI,Fiber,No,No,2,0
17,117.71,2001.07,One year,Cash,DSL,No,No,1,0
17,117.43,1996.31,Two year,Debit,DSL,No,No,1,0
13,32.65,424.45,Two year,Debit,,No,Yes,3,0
17,97.12,1651.04,Month-to-month,UPI,DSL,Yes,No,1,0
38,100.28,3810.64,Month-to-month,Cash,Fiber,No,Yes,1,1
45,56.87,2559.15,Two year,Debit,Fiber,Yes,Yes,3,0
6,85.86,515.16,Month-to-month,Credit,Fiber,No,Yes,0,1
35,68.82,2408.7,Month-to-month,UPI,Fiber,No,No,2,0
14,42.79,599.06,Month-to-month,Cash,DSL,Yes,No,0,0
72,96.13,6921.36,Month-to-month,UPI,Fiber,No,No,3,1
61,46.28,2823.08,Month-to-month,Debit,Fiber,No,No,1,1
15,54.04,810.6,Month-to-month,Debit,DSL,No,Yes,2,0
54,39.0,2106.0,Two year,Debit,DSL,No,Yes,1,0
27,91.93,2482.11,One year,UPI,DSL,No,No,3,1
13,65.87,856.31,Month-to-month,Cash,Fiber,Yes,No,4,0
31,64.34,1994.54,Month-to-month,UPI,DSL,No,No,1,0
35,80.46,2816.1,One year,Debit,DSL,No,No,3,1
60,35.73,2143.8,Two year,UPI,Fiber,No,No,3,0
6,109.82,658.92,Month-to-month,Credit,Fiber,No,No,1,1
69,66.51,4589.19,Month-to-month,Cash,Fiber,No,No,2,0
58,56.65,3285.7,Month-to-month,Debit,,No,No,2,0
49,32.67,1600.83,Month-to-month,UPI,Fiber,No,Yes,1,1
23,36.8,846.4,Month-to-month,Credit,DSL,No,Yes,2,0
34,112.04,3809.36,Month-to-month,Debit,Fiber,No,Yes,1,1
26,65.66,1707.16,Month-to-month,UPI,Fiber,Yes,No,2,0
47,92.22,4334.34,One year,Debit,Fiber,No,Yes,1,1
5,28.05,140.25,Month-to-month,Cash,Fiber,No,No,3,1
20,84.35,1687.0,Month-to-month,Debit,DSL,No,Yes,2,1
6,112.15,672.9,Month-to-month,Debit,DSL,No,No,1,1
70,50.0,3500.0,One year,Cash,Fiber,No,No,3,0
59,77.91,4596.69,Month-to-month,UPI,DSL,No,No,1,1
64,114.02,7297.28,Two year,Credit,Fiber,No,Yes,2,1
18,91.93,1654.74,Month-to-month,Credit,,No,Yes,2,1
4,26.23,104.92,Month-to-month,Cash,,Yes,No,0,0
17,57.87,983.79,Month-to-month,Debit,Fiber,Yes,No,1,0
14,28.58,400.12,Month-to-month,UPI,DSL,No,Yes,1,1
13,106.13,1379.69,Month-to-month,UPI,DSL,Yes,No,1,0
7,82.17,575.19,Month-to-month,Cash,Fiber,Yes,Yes,3,1
44,115.64,5088.16,Month-to-month,UPI,DSL,Yes,No,1,0
15,21.98,329.7,One year,Credit,,Yes,Yes,3,0
19,62.31,1183.89,Month-to-month,UPI,Fiber,No,No,1,0
63,30.44,1917.72,Month-to-month,Debit,DSL,Yes,Yes,1,0
35,55.05,1926.75,Month-to-month,UPI,DSL,Yes,No,1,0
35,36.19,1266.65,One year,Cash,Fiber,Yes,Yes,1,1
19,52.88,1004.72,Month-to-month,Cash,Fiber,Yes,Yes,2,0
20,101.93,2038.6,Month-to-month,Credit,DSL,Yes,No,2,1
35,36.07,1262.45,Month-to-month,Credit,Fiber,Yes,No,4,0
32,67.37,2155.84,Month-to-month,Credit,Fiber,No,No,2,0
48,112.16,5383.68,One year,Credit,Fiber,No,No,1,0
44,119.88,5274.72,One year,UPI,Fiber,Yes,No,2,0
24,45.06,1081.44,Two year,UPI,Fiber,Yes,Yes,1,0
61,113.56,6927.16,Month-to-month,Cash,Fiber,No,No,1,1
17,46.14,784.38,Month-to-month,Cash,,Yes,No,3,0
71,61.35,4355.85,Month-to-month,Credit,Fiber,No,Yes,1,0
50,107.79,5389.5,Month-to-month,UPI,,No,No,0,1
65,98.62,6410.3,One year,Debit,DSL,No,No,5,1
32,105.75,3384.0,Two year,Credit,Fiber,Yes,No,1,0
36,100.03,3601.08,Month-to-month,Credit,DSL,No,Yes,3,1
13,43.51,565.63,Month-to-month,UPI,Fiber,No,No,1,0
70,75.88,5311.6,Month-to-month,Debit,DSL,Yes,No,2,0
58,58.53,3394.74,Two year,Credit,Fiber,No,No,2,0
14,65.97,923.58,Month-to-month,Debit,Fiber,No,Yes,1,0
37,35.4,1309.8,Two year,Cash,DSL,No,No,1,0
68,51.58,3507.44,One year,Cash,Fiber,No,No,0,0
40,105.76,4230.4,One year,Credit,Fiber,No,No,1,0
59,109.76,6475.84,Month-to-month,UPI,DSL,No,No,1,0
16,81.02,1296.32,Two year,Credit,DSL,Yes,Yes,1,0
62,69.83,4329.46,One year,UPI,Fiber,Yes,Yes,1,0
4,91.28,365.12,Month-to-month,Debit,Fiber,No,Yes,0,1
45,80.89,3640.05,Month-to-month,UPI,Fiber,No,No,0,1
28,118.37,3314.36,Month-to-month,UPI,DSL,No,No,0,1
66,39.01,2574.66,Month-to-month,Credit,DSL,No,No,2,0
31,64.9,2011.9,Month-to-month,Credit,Fiber,Yes,No,0,0
3,111.82,335.46,Two year,Cash,Fiber,No,Yes,1,1
8,111.47,891.76,One year,Debit,Fiber,Yes,Yes,4,0
24,69.53,1668.72,One year,Cash,Fiber,No,No,1,0
15,33.48,502.2,One year,Debit,DSL,Yes,No,0,0
43,101.5,4364.5,Month-to-month,Cash,DSL,No,No,1,1
31,78.52,2434.12,Month-to-month,Debit,DSL,No,Yes,2,0
45,97.32,4379.4,Month-to-month,UPI,Fiber,No,Yes,3,1
66,66.25,4372.5,Two year,UPI,DSL,No,Yes,0,0
8,40.39,323.12,Month-to-month,Cash,Fiber,No,No,2,1
71,22.4,1590.4,One year,Cash,DSL,No,Yes,2,0
57,75.91,4326.87,One year,Cash,Fiber,No,Yes,0,0
30,36.1,1083.0,Month-to-month,Credit,DSL,No,No,0,0
18,38.71,696.78,Two year,Debit,DSL,No,Yes,3,0
69,63.63,4390.47,Month-to-month,Cash,Fiber,No,No,4,1
39,64.21,2504.19,One year,Credit,DSL,Yes,No,3,0
60,47.44,2846.4,One year,Cash,Fiber,No,No,3,0
43,33.19,1427.17,Two year,Credit,Fiber,Yes,No,2,0
